System Passenger - Revenue Passenger Miles  (October 2002 - October 2017)
Unit: (000)

Period,Total
"October 2002","54019748"
"November 2002","50105232"
"December 2002","56656594"
"January 2003","51197175"
"February 2003","47040806"
"March 2003","56765848"
"April 2003","51857179"
"May 2003","54335598"
"June 2003","60272900"
"July 2003","65962215"
"August 2003","64989766"
"September 2003","52121480"
"October 2003","56724442"
"November 2003","54128776"
"December 2003","58739845"
"January 2004","53979780"
"February 2004","53179685"
"March 2004","64035863"
"April 2004","62340117"
"May 2004","62530704"
"June 2004","68866389"
"July 2004","73335888"
"August 2004","70961513"
"September 2004","57881031"
"October 2004","63021122"
"November 2004","59453941"
"December 2004","62680310"
"January 2005","59629608"
"February 2005","55795165"
"March 2005","70595861"
"April 2005","65145550"
"May 2005","68268899"
"June 2005","72952958"
"July 2005","77432998"
"August 2005","73778917"
"September 2005","62046797"
"October 2005","63640895"
"November 2005","61518984"
"December 2005","64289340"
"January 2006","61035027"
"February 2006","56729212"
"March 2006","70799794"
"April 2006","68120558"
"May 2006","69352605"
"June 2006","74085927"
"July 2006","77798585"
"August 2006","74227040"
"September 2006","62345732"
"October 2006","66082158"
"November 2006","63548729"
"December 2006","65980779"
"January 2007","63016013"
"February 2007","57793832"
"March 2007","72700241"
"April 2007","69836156"
"May 2007","71933109"
"June 2007","76926452"
"July 2007","80988340"
"August 2007","79439827"
"September 2007","65913298"
"October 2007","69445349"
"November 2007","66250428"
"December 2007","67782533"
"January 2008","64667106"
"February 2008","61504426"
"March 2008","74575531"
"April 2008","68906881"
"May 2008","72725749"
"June 2008","76162104"
"July 2008","79707545"
"August 2008","77300567"
"September 2008","61198749"
"October 2008","65018204"
"November 2008","58512623"
"December 2008","63503416"
"January 2009","58373783"
"February 2009","53506580"
"March 2009","66027341"
"April 2009","65166298"
"May 2009","65868253"
"June 2009","71350226"
"July 2009","77136797"
"August 2009","74614770"
"September 2009","61435354"
"October 2009","64274739"
"November 2009","59011015"
"December 2009","63231672"
"January 2010","59651061"
"February 2010","53240065"
"March 2010","68307089"
"April 2010","64953249"
"May 2010","68850904"
"June 2010","74474550"
"July 2010","79304441"
"August 2010","76741308"
"September 2010","65341294"
"October 2010","69071625"
"November 2010","63334290"
"December 2010","65797939"
"January 2011","61630362"
"February 2011","55391206"
"March 2011","70158268"
"April 2011","67683558"
"May 2011","71711447"
"June 2011","76057910"
"July 2011","81423230"
"August 2011","77247893"
"September 2011","66345317"
"October 2011","68177878"
"November 2011","63492941"
"December 2011","66595642"
"January 2012","61940192"
"February 2012","58243794"
"March 2012","71696202"
"April 2012","68668302"
"May 2012","71887531"
"June 2012","76760758"
"July 2012","80499331"
"August 2012","78609006"
"September 2012","66007760"
"October 2012","67677764"
"November 2012","64039209"
"December 2012","66702988"
"January 2013","63139218"
"February 2013","58109870"
"March 2013","72764478"
"April 2013","68453537"
"May 2013","73574534"
"June 2013","78467131"
"July 2013","81974582"
"August 2013","80007788"
"September 2013","67203059"
"October 2013","69727370"
"November 2013","63611195"
"December 2013","70967038"
"January 2014","64743622"
"February 2014","58474895"
"March 2014","74237172"
"April 2014","71278692"
"May 2014","75712694"
"June 2014","80063355"
"July 2014","84404541"
"August 2014","81957559"
"September 2014","69028857"
"October 2014","71887841"
"November 2014","65654285"
"December 2014","72233639"
"January 2015","66538427"
"February 2015","60331343"
"March 2015","76271051"
"April 2015","73607258"
"May 2015","78502353"
"June 2015","83253406"
"July 2015","88951665"
"August 2015","85855967"
"September 2015","73017729"
"October 2015","76678056"
"November 2015","70460064"
"December 2015","75327875"
"January 2016","69778658"
"February 2016","65026219"
"March 2016","79121758"
"April 2016","75617423"
"May 2016","81226985"
"June 2016","87042101"
"July 2016","91256833"
"August 2016","86708517"
"September 2016","75735169"
"October 2016","77790769"
"November 2016","72625058"
"December 2016","77310977"
"January 2017","71863052"
"February 2017","64648038"
"March 2017","81276185"
"April 2017","79917608"
"May 2017","83921422"
"June 2017","90112473"
"July 2017","94623610"
"August 2017","90963785"
"September 2017","75075798"
"October 2017","81141740"


SOURCE: Bureau of Transportation Statistics, T-100 Market and Segment
